nome_marca,nome_modelo,ano_modelo,preco_limpo,eh_zero_km
ADLY,ATV 50,2000,2392.0,False
ADLY,ATV 50,2001,2497.0,False
ADLY,ATV 100,2002,3714.0,False
ADLY,ATV 100,2001,3449.0,False
ADLY,JAGUAR JT 100,1996,1396.0,False
ADLY,JAGUAR JT 100,1998,1637.0,False
ADLY,JAGUAR JT 100,1997,1544.0,False
ADLY,ATV 100,2000,3181.0,False
ADLY,JAGUAR JT 50,1997,1330.0,False
ADLY,JAGUAR JT 50,1999,1553.0,False
ADLY,JAGUAR JT 50,1998,1399.0,False
ADLY,JAGUAR JT 50,2000,1613.0,False
ADLY,JAGUAR JT 50,2001,1798.0,False
ADLY,JAGUAR JT 50,1996,1191.0,False
ADLY,RT 50,2001,1720.0,False
ADLY,JAGUAR JT 100,1999,1837.0,False
AGRALE,CITY 50,1998,1273.0,False
AGRALE,CITY 90,1998,1772.0,False
AGRALE,CITY 50,2001,1533.0,False
AGRALE,CITY 50,1999,1409.0,False
AGRALE,CITY 90,1997,1576.0,False
AGRALE,CITY 50,1997,1223.0,False
AGRALE,CITY 50,2000,1493.0,False
AGRALE,CITY 90,1999,1917.0,False
AGRALE,DAKAR 30.0 190cc,1994,1798.0,False
AGRALE,DAKAR 30.0 190cc,1993,1634.0,False
AGRALE,DAKAR 50,1999,1783.0,False
AGRALE,DAKAR 30.0 190cc,1990,1336.0,False
AGRALE,DAKAR 50,1997,1446.0,False
AGRALE,DAKAR 30.0 190cc,1992,1451.0,False
AGRALE,DAKAR 30.0 190cc,1991,1384.0,False
AGRALE,DAKAR 50,1998,1555.0,False
AGRALE,DAKAR 50,2000,1988.0,False
AGRALE,ELEFANT 16.5 125cc,1990,1245.0,False
AGRALE,ELEFANT 27.5 190cc,1990,1313.0,False
AGRALE,ELEFANT 27.5 190cc,1991,1431.0,False
AGRALE,ELEFANTRE 16.5 ES 125cc,1990,1099.0,False
AGRALE,ELEFANTRE 16.5 ES 125cc,1992,1249.0,False
AGRALE,ELEFANTRE 30.0 ES 190cc,1995,2920.0,False
AGRALE,ELEFANTRE 30.0 ES 190cc,1990,2306.0,False
AGRALE,ELEFANTRE 16.5 ES 125cc,1991,1197.0,False
AGRALE,ELEFANTRE 16.5 ES 125cc,1993,1387.0,False
AGRALE,ELEFANTRE 30.0 ES 190cc,1996,3144.0,False
AGRALE,ELEFANTRE 30.0 ES 190cc,1991,2364.0,False
AGRALE,ELEFANTRE 30.0 ES 190cc,1992,2426.0,False
AGRALE,ELEFANTRE 30.0 ES 190cc,1998,3819.0,False
AGRALE,ELEFANTRE 30.0 ES 190cc,1993,2716.0,False
AGRALE,ELEFANTRE 30.0 ES 190cc,1997,3725.0,False
AGRALE,ELEFANTRE 16.5 ES 125cc,1994,1611.0,False
AGRALE,ELEFANTRE 30.0 ES 190cc,1994,2784.0,False
AGRALE,FORCE 50,1999,1725.0,False
AGRALE,FORCE 50,1997,1476.0,False
AGRALE,FORCE 90,1999,1976.0,False
AGRALE,FORCE 90,1997,1599.0,False
AGRALE,FORCE 50,2000,1878.0,False
AGRALE,FORCE 50,1998,1562.0,False
AGRALE,FORCE 90,1998,1733.0,False
AGRALE,JUNIOR 50,1996,961.0,False
AGRALE,JUNIOR 50,1995,920.0,False
AGRALE,SST 13.5 125cc,1992,1006.0,False
AGRALE,SST 13.5 125cc,1998,1468.0,False
AGRALE,SST 13.5 125cc,1993,1033.0,False
AGRALE,SST 13.5 125cc,1994,1095.0,False
AGRALE,SST 13.5 125cc,1997,1387.0,False
AGRALE,SST 13.5 125cc,1990,936.0,False
AGRALE,SST 13.5 125cc,1995,1157.0,False
AGRALE,SUPER CITY 125,1994,2907.0,False
AGRALE,SST 13.5 125cc,1996,1208.0,False
AGRALE,SST 13.5 125cc,1991,980.0,False
AGRALE,SUPER CITY 150,1995,3971.0,False
AGRALE,SUPER CITY 150,1996,4209.0,False
AGRALE,SXT 27.5 E 190cc,1994,1934.0,False
AGRALE,SXT 27.5 E 190cc,1993,1885.0,False
AGRALE,SUPER CITY 150,1994,3681.0,False
AGRALE,SXT 27.5 E 190cc,1990,1725.0,False
AGRALE,SXT 27.5 E 190cc,1992,1839.0,False
AGRALE,SXT 27.5 E 190cc,1995,2184.0,False
AGRALE,SXT 27.5 EX 190cc,1994,2889.0,False
AGRALE,SXT 27.5 E 190cc,1991,1794.0,False
AGRALE,SXT 27.5 EX 190cc,1997,3874.0,False
AGRALE,SXT 27.5 EX 190cc,1991,2430.0,False
AGRALE,SXT 27.5 EX 190cc,1996,3414.0,False
AGRALE,SXT 27.5 EX 190cc,1995,3248.0,False
AGRALE,TCHAU 50,2003,1869.0,False
AGRALE,TCHAU 50,2004,1916.0,False
AGRALE,TCHAU 50,2002,1567.0,False
AGRALE,SXT 27.5 EX 190cc,1993,2795.0,False
AGRALE,TCHAU 50,1996,1276.0,False
AGRALE,TCHAU 50,2001,1502.0,False
AGRALE,SXT 27.5 EX 190cc,1992,2657.0,False
AGRALE,TCHAU 50,1995,1168.0,False
AGRALE,TCHAU 50,2000,1396.0,False
AGRALE,TCHAU 50,1999,1320.0,False
AMAZONAS,AME-150 TC/ SC,2006,2464.0,False
AMAZONAS,AME-150 TC/ SC,2007,2741.0,False
AMAZONAS,AME-110 MIX,2008,1955.0,False
AMAZONAS,AME-110 MIX,2006,1608.0,False
